Query,Intent,Aggregation,Paid Status,split
What was the first invoice for amy's bird sanctuary?,Invoice,Min,None,train
What was the lowest bill I received from tania's nursery?,Bill,Min,None,train
How many hour did I sell This week to date?,Invoice,Count,None,train
When was the first time dylan sollfrank paid you?,Invoice,Min,TRUE,train
What was the total invoice amount for lawyer?,Sales,Total,None,train
"This month to date, how many invoices have been paid?",Invoice,Count,TRUE,train
What's the average contract size for the Sales team?,Sales,Average,None,train
Show how many transactions you've had with duke basketball camp,Invoice,Count,None,test
What was our total spend for tim philip masonry in the Last 12 months?,Expense,Total,None,train
"Last year, how much did we pay bob's burger joint?",Expense,Total,TRUE,train
How much money have we paid to brosnahan insurance agency This fiscal year?,Expense,Total,TRUE,train
How much revenue came through barnett design last month?,Sales,Total,None,train
How much did I spend This week?,Expense,Total,None,train
How much money have we paid to hall properties Last month?,Expense,Total,TRUE,train
What are my AP This quarter to date?,Account Payable,Total,None,train
What has red rock diner paid us so far This month to date?,Sales,Total,TRUE,train
What are my account receivable Last month?,Account Receivables,Total,None,train
When was the last time we billed for repair,Invoice,Max,None,test
Show all transactions with mark cho,Invoice,Count,None,train
How much we received from bookkeeper?,Invoice,Total,None,train
"This month, what are my account receivable?",Account Receivables,Total,None,train
What was the total invoice amount for truck?,Sales,Total,None,train
What are my mean sales by customer?,Sales,Average,None,train
"This year, how much did we pay squeaky kleen car wash?",Expense,Total,TRUE,train
Show all of kate whelan's transactions,Invoice,Count,None,train
How many invoices are past due since This month to date?,Invoice,Count,FALSE,train
What are my expenses for the Last 7 days?,Expense,Total,None,train
What are my account payable This month to date?,Account Payable,Total,None,test
What was the first invoice for diego rodriguez?,Invoice,Min,None,train
shara barnett has received how many invoices?,Invoice,Count,None,train
What was our smallest expense This quarter?,Expense,Min,None,train
"As of today, how many invoices for john melton were still unpaid?",Invoice,Count,FALSE,train
How many rondonuwu fruit and vegi invoices are still outstanding?,Invoice,Count,FALSE,test
"In the today, what has been my min revenue from kookies by kathy?",Sales,Min,None,test
What was the first invoice for dukes basketball camp?,Invoice,Min,None,train
What's the total number of invoices we've issued to rondonuwu fruit and vegi?,Invoice,Count,None,train
What was our smallest expense Last quarter?,Expense,Min,None,train
What was the most recent invoice for pump?,Invoice,Max,None,train
How much credit does dukes basketball camp have today,Sales,Total,FALSE,test
"Last 30 days, what are my AP?",Account Payable,Total,None,test
What are my mean sales by customer?,Sales,Average,None,train
What was our biggest expense This month?,Expense,Max,None,train
Number of invoices created for utility?,Invoice,Count,None,train
How much money did we make Last 30 days?,Sales,Total,None,train
What is my highest invoice from diego's road warrior bodyshop?,Bill,Max,None,test
Whats our monthly spend on united state treasury?,Expense,Total,None,train
"As of This fiscal year to date, how many invoices for diego rodriguez were still outstanding?",Invoice,Count,FALSE,test
What was our Net Expenses?,Expense,Total,None,train
What were my outgoings during the Last fiscal year?,Expense,Total,None,train
What was the last bill I received from pg?,Bill,Max,None,train
What's the average contract size for the Sales team?,Sales,Average,None,train
What is wedding planning by whitney credit for yesterday?,Sales,Total,FALSE,train
Whats our monthly spend on elli equipment rental?,Expense,Total,None,train
How much has pye's cakes paid us This year?,Sales,Total,TRUE,train
Show number of transactions with freeman sporting goods,Invoice,Count,None,train
What was our Net Income as of This month?,Sales,Total,None,train
When was the last time we billed for concrete,Invoice,Max,None,test
Number of invoices created for computer repair?,Invoice,Count,None,train
What was the first invoice for paulsen medical supply?,Invoice,Min,None,train
How many invoices are past due since This week to date?,Invoice,Count,FALSE,train
How much has red rock diner paid us Last 30 days?,Sales,Total,TRUE,train
How much has wedding planning by whitney paid us This month to date?,Sales,Total,TRUE,train
When was geeta kalapatapu first payment?,Invoice,Min,TRUE,train
"In the This year, what has been my first revenue from amy's bird sanctuary?",Sales,Min,None,test
What are the names of my outstanding debtors?,Invoice,List,FALSE,test
What were my outgoings during the This week to date?,Expense,Total,None,train
"As of This year to date, how many invoices for wedding planning by whitney were still outstanding?",Invoice,Count,FALSE,test
How much have we been spending on travel meals?,Expense,Total,None,train
What's the total number of invoices we've issued to pye's cakes?,Invoice,Count,None,train
What was the total of our net expenses?,Expense,Total,None,train
What was the highest invoice amount for rocks?,Sales,Max,None,train
"Last 30 days, how many invoices have been paid?",Invoice,Count,TRUE,train
How many invoices were paid This month to date?,Invoice,Count,TRUE,train
How many geeta kalapatapu invoices have yet to be paid?,Invoice,Count,FALSE,test
How much money did we make This week?,Sales,Total,None,train
How much money did we make This month to date?,Sales,Total,None,train
"In the This week to date, what has been my mean revenue from freeman sporting good?",Sales,Average,None,test
How much did we spend on bookkeeper Last fiscal year?,Expense,Total,None,train
"Last 7 days, what are my AR?",Account Receivables,Total,None,test
When was the first time we billed for meal and entertainment?,Expense,Min,None,train
When was bill's windsurf shop last payment?,Invoice,Max,TRUE,train
Display all of red rock diner's transactions,Invoice,Count,None,test
When was the first time we billed for uncategorized asset?,Expense,Min,None,train
How much did we spend on united state treasury in This year to date?,Expense,Total,TRUE,train
What was our Net Expenses?,Expense,Total,None,train
What was our total income from travis waldron in Last 12 months?,Sales,Total,None,train
How many red rock diner invoices have yet to be paid?,Invoice,Count,FALSE,test
Who has the most money outstanding?,Invoice,Max,FALSE,test
When was the last time video games by dan paid you?,Invoice,Max,TRUE,train
How much has amy's bird sanctuary paid us This fiscal year to date?,Sales,Total,TRUE,train
How much credit does amy's bird sanctuary have Last 7 days?,Sales,Total,FALSE,train
How much money did we spend on net expenses?,Expense,Total,None,train
How much has rago travel agency paid us This week to date?,Sales,Total,TRUE,train
Did we receive payment from Stripe partnership last year?,Sales,Count,None,train
How many gardening did I sell This week?,Invoice,Count,None,train
What were our total payroll expenses This quarter?,Expense,Total,None,train
When was wedding planning by whitney last payment?,Invoice,Max,TRUE,train
What was the total of our net expenses?,Expense,Total,None,train
"In the This week, how many rock did I sell?",Invoice,Count,None,train
"As of This month to date, what was our net income?",Sales,Total,None,train
What is my total revenue for rondonuwu fruit and vegi in the This quarter?,Sales,Total,None,train
What are my AR This week to date?,Account Receivables,Total,None,train
What's the total number of invoices we've issued to barnett design?,Invoice,Count,None,train
"As of This year to date, how many invoices for amy's bird sanctuary were still unpaid?",Invoice,Count,FALSE,train
What is my average invoice from diego's road warrior bodyshop?,Bill,Average,None,test
What was our smallest expense Last 12 months?,Expense,Min,None,train
When was the first time shara barnett paid you?,Invoice,Min,TRUE,train
When was the last time we billed for pest control,Invoice,Max,None,test
What is the balance due from bill's windsurf shop?,Sales,Total,FALSE,test
Who has the lowest money outstanding?,Invoice,Min,None,test
Show all transactions with red rock diner,Invoice,Count,None,train
What is my mean bill for elli equipment rental?,Bill,Average,None,train
What's the average contract size for the Sales team?,Sales,Average,None,train
What is my first bill for fidelity?,Bill,Min,None,train
When was the first time we billed for decks and patios?,Expense,Min,None,train
Who are my outstanding debtors?,Invoice,List,FALSE,train
When was the first time we billed for building repair?,Expense,Min,None,train
"This year to date, what are my account payable?",Account Payable,Total,None,test
How many lighting did I sell Last 30 days?,Invoice,Count,None,train
How much did we pay hall property the Last fiscal year?,Expense,Total,TRUE,train
How much we received from uncategorized asset in Last quarter?,Invoice,Total,None,train
How many invoices were paid This month?,Invoice,Count,TRUE,train
Did we receive payment from Stripe partnership last year?,Sales,Count,None,train
How much did we spend on depreciation This month?,Expense,Total,None,train
"Since This year to date, how many invoices have been late?",Invoice,Count,FALSE,train
What was the most recent invoice for rago travel agency?,Invoice,Max,None,train
How much money have we paid to hick hardware This fiscal year?,Expense,Total,TRUE,train
"Since This year, how many invoices have been late?",Invoice,Count,FALSE,train
"In the today, how many trimming did I sell?",Invoice,Count,None,train
What was the total of our net expenses?,Expense,Total,None,train
"today, how many sod did I sell?",Invoice,Count,None,train
How much have we been spending on miscellaneous?,Expense,Total,None,train
"As of This month to date, what was our net income?",Sales,Total,None,train
"This week, how much has gevelber photography paid us?",Sales,Total,TRUE,test
"In the today, how many pump did I sell?",Invoice,Count,None,train
"Since yesterday, how many invoices have been past due?",Invoice,Count,FALSE,train
How many Adobe subscriptions do we have?,Expense,Count,None,train
How much credit does sonnenschein family store have This year to date?,Sales,Total,FALSE,train
How many jeff's jalopies invoices haven't been paid yet?,Invoice,Count,FALSE,train
When did gevelber photography last pay?,Invoice,Max,None,train
When was the last time we billed for refunds,Invoice,Max,None,test
What was our smallest expense This month?,Expense,Min,None,train
What are my first sales by customer?,Sales,Min,None,train
How many amy's bird sanctuary invoices haven't been paid yet?,Invoice,Count,FALSE,train
"As of yesterday, what was our net income?",Sales,Total,None,train
"This fiscal year to date, what are my AP?",Account Payable,Total,None,test
What's the average contract size for the Sales team?,Sales,Average,None,train
What were my expenses in the This year to date?,Expense,Total,None,train
When did rondonuwu fruit and vegi last pay?,Invoice,Max,None,train
What was the last invoice I received from cigna health care?,Bill,Max,None,test
Whats our monthly spend on fidelity?,Expense,Total,None,train
What was our total spend for diego's road warrior bodyshop in the today?,Expense,Total,None,train
"yesterday, how much has dylan sollfrank paid us?",Sales,Total,TRUE,test
When was the last time cool cars paid you?,Invoice,Max,TRUE,train
What was the most recent invoice for services?,Invoice,Max,None,train
What are my mean sales by account?,Sales,Average,None,train
How much credit does wedding planning by whitney have This week,Sales,Total,FALSE,test
What are my expenses for the This fiscal year to date?,Expense,Total,None,train
How much revenue came through sonnenschein family store last month?,Sales,Total,None,train
"In the Last 30 days, how many pest control did I sell?",Invoice,Count,None,train
How much money did we spend on net expenses?,Expense,Total,None,train
"In the Last 12 months, how many gardening did I sell?",Invoice,Count,None,train
When did jeff's jalopies first pay?,Invoice,Min,None,train
How much credit does barnett design have This month?,Sales,Total,FALSE,train
How many freeman sporting goods invoices are still outstanding?,Invoice,Count,FALSE,test
"As of Last 7 days, what was our net income?",Sales,Total,None,train
When was wedding planning by whitney last payment?,Invoice,Max,TRUE,train
What has travis waldron paid us so far This week to date?,Sales,Total,TRUE,train
What are my AR Last 7 days?,Account Receivables,Total,None,train
How many invoices have we sent to rago travel agency?,Invoice,Count,None,test
"As of Last quarter, how many invoices for diego rodriguez were still unpaid?",Invoice,Count,FALSE,train
How much did we pay tim philip masonry the Last 30 days?,Expense,Total,TRUE,train
Show all transactions with jeff's jalopy,Invoice,Count,None,train
What was the max bill I received from mahoney mugs?,Bill,Max,None,train
Show how many transactions you've had with wedding planning by whitney,Invoice,Count,None,test
Who are my outstanding creditors?,Invoice,List,FALSE,test
"This quarter to date, what are my AP?",Account Payable,Total,None,test
How much money did we make This fiscal year to date?,Sales,Total,None,train
What is my first bill for tony rondonuwu?,Bill,Min,None,train
What was our greatest expense This month to date?,Expense,Max,None,test
How much have we been spending on decks and patios?,Expense,Total,None,train
Whats our monthly spend on tony rondonuwu?,Expense,Total,None,train
When was the last time paulsen medical supplies paid you?,Invoice,Max,TRUE,train
What is the balance due from gevelber photography?,Sales,Total,FALSE,test
How much money did we make This year?,Sales,Total,None,train
What are my expenses for the Last month?,Expense,Total,None,train
When was kookies by kathy first payment?,Invoice,Min,TRUE,train
What was our smallest expense This quarter to date?,Expense,Min,None,train
When was the last time sushi by katsuyuki paid you?,Invoice,Max,TRUE,train
How much have we been spending on equipment rental?,Expense,Total,None,train
How many maintenance did I sell This week to date?,Invoice,Count,None,train
When was wedding planning by whitney last payment?,Invoice,Max,TRUE,train
What was the total of our net expenses?,Expense,Total,None,train
What was the total of our net expenses?,Expense,Total,None,train
How many john melton invoices haven't been paid yet?,Invoice,Count,FALSE,train
How many design did I sell today?,Invoice,Count,None,train
What are my lowest sales by department?,Sales,Min,None,train
"As of This year, how many invoices for freeman sporting goods remained unpaid?",Invoice,Count,FALSE,train
What was our biggest expense This year?,Expense,Max,None,train
What is the balance owed by video games by dan?,Sales,Total,FALSE,test
What are my account receivable This week to date?,Account Receivables,Total,None,train
What are my expenses for the This month to date?,Expense,Total,None,train
Who has the most money outstanding?,Invoice,Max,FALSE,test
What's the average contract size for the Sales team?,Sales,Average,None,train
"As of This week to date, how many invoices for freeman sporting good were still unpaid?",Invoice,Count,FALSE,train
How many invoices are past due since This fiscal year to date?,Invoice,Count,FALSE,train
How much credit does john melton have This month?,Sales,Total,FALSE,train
What has cool car paid us so far This fiscal year to date?,Sales,Total,TRUE,train
How much did we spend on diego's road warrior bodyshop in This week?,Expense,Total,TRUE,train
"Since Last month, how many invoices have gone unpaid?",Invoice,Count,FALSE,train
What was the first invoice amount for office expenses?,Sales,Min,None,train
When did cool cars first pay?,Invoice,Min,None,train
"In the Last 7 days, what has been my lowest revenue from paulsen medical supplies?",Sales,Min,None,test
When did sonnenschein family store last pay?,Invoice,Max,None,train
What is my first revenue for wedding planning by whitney in the Last 12 months?,Sales,Min,None,train
Show all transactions with 0969 ocean view road,Invoice,Count,None,train
When did freeman sporting good first pay?,Invoice,Min,None,train
What were my outgoings during the yesterday?,Expense,Total,None,train
What was the highest invoice I received from hick hardware?,Bill,Max,None,test
What was our Net Income as of This quarter?,Sales,Total,None,train
Display the total number of transactions with 0969 ocean view road,Invoice,Count,None,train
What are my AP This month?,Account Payable,Total,None,train
What was the last bill I received from pam seitz?,Bill,Max,None,train
Display all transactions involving kate whelan,Invoice,Count,None,test
Display the total number of transactions with sonnenschein family store,Invoice,Count,None,train
What was the total of our net expenses?,Expense,Total,None,train
What are the names of my outstanding debtors?,Invoice,List,FALSE,test
How much did we spend on brosnahan insurance agency in Last fiscal year?,Expense,Total,TRUE,train
When did john melton first pay?,Invoice,Min,None,train
travis waldron has received how many invoices?,Invoice,Count,None,train
How much did we spend on settlement today?,Expense,Total,None,train
What was the first invoice I received from computers by jenni?,Bill,Min,None,test
When was the last time 0969 ocean view road paid you?,Invoice,Max,TRUE,train
How much money did we make Last year?,Sales,Total,None,train
Who has the lowest money outstanding?,Invoice,Min,None,test
How many dylan sollfrank invoices haven't been paid yet?,Invoice,Count,FALSE,train
How much we received from meals and entertainment in This week?,Invoice,Total,None,train
What was the first invoice for pump?,Invoice,Min,None,train
What was the average invoice I received from tania's nursery?,Bill,Average,None,test
How many weiskopf consulting invoices are still outstanding?,Invoice,Count,FALSE,test
Who are my outstanding debtors?,Invoice,List,FALSE,train
What's the total number of invoices we've issued john melton?,Invoice,Count,None,train
How much credit does pye's cakes have Last quarter?,Sales,Total,FALSE,train
What was our biggest expense Last fiscal year?,Expense,Max,None,train
When was kookies by kathy first payment?,Invoice,Min,TRUE,train
What was the total invoice amount for gardening?,Sales,Total,None,train
What are the names of my outstanding creditors?,Invoice,List,FALSE,train
How many invoices are past due since Last month?,Invoice,Count,FALSE,train
How much we received from building repair in This fiscal year?,Invoice,Total,None,train
"Last year, how many invoices have been paid?",Invoice,Count,TRUE,train
When was the first time we billed for uncategorized asset?,Expense,Min,None,train
How much we received from uncategorized income?,Invoice,Total,None,train
What was the first invoice amount for lighting?,Sales,Min,None,train
What are my AP Last month?,Account Payable,Total,None,train
What were my expenses in the This year?,Expense,Total,None,train
What is my average revenue for jeff's jalopies in the Last month?,Sales,Average,None,train
What are my account receivable Last 30 days?,Account Receivables,Total,None,train
How many invoices are still oustanding for bill's windsurf shop as of yesterday?,Invoice,Count,FALSE,train
What was the first bill I received from cal telephone?,Bill,Min,None,train
"This month to date, what are my account payable?",Account Payable,Total,None,test
Display all of sonnenschein family store's transactions,Invoice,Count,None,test
How much we received from license in This fiscal year to date?,Invoice,Total,None,train
What was the most recent invoice for allowance?,Invoice,Max,None,train
Who has the most money outstanding?,Invoice,Max,FALSE,test
What was the most recent invoice for maintenance & repair?,Invoice,Max,None,train
"This week, how many invoices have been paid?",Invoice,Count,TRUE,train
"This quarter to date, how much did we pay norton lumber and building materials?",Expense,Total,TRUE,train
When did kookies by kathy first pay?,Invoice,Min,None,train
When was the first time we billed for repair,Invoice,Min,None,train
What was the highest invoice amount for savings?,Sales,Max,None,train
How much revenue came through paulsen medical supplies last month?,Sales,Total,None,train
How much has sushi by katsuyuki paid us Last 30 days?,Sales,Total,TRUE,train
What was our total income from freeman sporting goods in This year?,Sales,Total,None,train
What was the min invoice amount for opening balance equity in Last quarter?,Sales,Min,None,train
Who has the lowest money outstanding?,Invoice,Min,None,test
"Last year, what are my account receivable?",Account Receivables,Total,None,train
What has geeta kalapatapu paid us so far This year to date?,Sales,Total,TRUE,train
"Last 7 days, how much has cool cars paid us?",Sales,Total,TRUE,test
What is my mean bill for squeaky kleen car wash?,Bill,Average,None,train
"In the yesterday, how many rock fountain did I sell?",Invoice,Count,None,train
How much credit does rago travel agency have Last fiscal year,Sales,Total,FALSE,test
Who has the lowest money outstanding?,Invoice,Min,None,test
What was our biggest expense This week?,Expense,Max,None,train
How much has paulsen medical supply paid us Last quarter?,Sales,Total,TRUE,train
How much money have we paid to tony rondonuwu This quarter?,Expense,Total,TRUE,train
What was the first invoice for sprinkler head?,Invoice,Min,None,train
How many rago travel agency invoices are still outstanding?,Invoice,Count,FALSE,test
What is my highest invoice from united state treasury?,Bill,Max,None,test
How much we received from landscaping services in Last year?,Invoice,Total,None,train
When was 0969 ocean view road first payment?,Invoice,Min,TRUE,train
What is john melton credit for today?,Sales,Total,FALSE,train
"This week, what are my AP?",Account Payable,Total,None,test
How many 55 twin lane invoices have yet to be paid?,Invoice,Count,FALSE,test
What was the lowest invoice amount for equipment rental in This quarter?,Sales,Min,None,train
How much have we been spending on interest earned?,Expense,Total,None,train
How much did we spend on brosnahan insurance agency in This week to date?,Expense,Total,TRUE,train
What was our total spend for chin's gas and oil in the This quarter to date?,Expense,Total,None,train
"In the This fiscal year to date, what has been my average sales from 55 twin lane?",Sales,Average,None,train
What was the first invoice for diego rodriguez?,Invoice,Min,None,train
Show how many transactions you've had with wedding planning by whitney,Invoice,Count,None,test
What's the total number of invoices we've issued jeff's jalopy?,Invoice,Count,None,train
What was our total income from geeta kalapatapu in Last year?,Sales,Total,None,train
How much credit does shara barnett have This month,Sales,Total,FALSE,test
When was the last time video game by dan paid you?,Invoice,Max,TRUE,train
"This quarter to date, what are my account payable?",Account Payable,Total,None,test
What were my outgoings during the Last year?,Expense,Total,None,train
What's the average contract size for the Sales team?,Sales,Average,None,train
When was the last time kate whelan paid you?,Invoice,Max,TRUE,train
When was rondonuwu fruit and vegi first payment?,Invoice,Min,TRUE,train
What is my last revenue for diego rodriguez in the Last 7 days?,Sales,Max,None,train
How much revenue came through kookies by kathy last month?,Sales,Total,None,train
How much money did we spend on net expenses?,Expense,Total,None,train
What are my highest sales by account?,Sales,Max,None,train
How many invoices have we sent to mark cho?,Invoice,Count,None,test
What's the total number of invoices we've issued wedding planning by whitney?,Invoice,Count,None,train
Who are my outstanding creditors?,Invoice,List,FALSE,test
What was our Net Expenses?,Expense,Total,None,train
Number of invoices created for dues & subscriptions?,Invoice,Count,None,train
When was the first time wedding planning by whitney paid you?,Invoice,Min,TRUE,train
How much money have we paid to brosnahan insurance agency Last 12 months?,Expense,Total,TRUE,train
What was our total spend for diego's road warrior bodyshop in the Last year?,Expense,Total,None,train
What's the total number of invoices we've issued duke basketball camp?,Invoice,Count,None,train
What are my expenses for the This quarter?,Expense,Total,None,train
When was amy's bird sanctuary last payment?,Invoice,Max,TRUE,train
Display all of shara barnett's transactions,Invoice,Count,None,test
Display all transactions involving kookies by kathy,Invoice,Count,None,test
How much money does kookies by kathy still owe?,Sales,Total,FALSE,train
"Last fiscal year, what was our smallest expense?",Expense,Min,None,train
What was the total of our net expenses?,Expense,Total,None,train
Number of invoices created for loan payable in This year to date?,Invoice,Count,None,train
What is my last revenue for kookies by kathy in the This year?,Sales,Max,None,train
Who are my outstanding creditors?,Invoice,List,FALSE,test
"Since Last 30 days, how many invoices have been past due?",Invoice,Count,FALSE,train
Display all transactions involving rondonuwu fruit and vegi,Invoice,Count,None,test
How much we received from insurance?,Invoice,Total,None,train
Show how many transactions you've had with rondonuwu fruit and vegi,Invoice,Count,None,test
What is video games by dan credit for Last 12 months?,Sales,Total,FALSE,train
What was our total income from john melton in Last quarter?,Sales,Total,None,train
What is the balance owed by pye's cakes?,Sales,Total,FALSE,test
How much money have we paid to books by bessie This quarter to date?,Expense,Total,TRUE,train
"today, how much has gevelber photography paid us?",Sales,Total,TRUE,test
What was the most recent invoice for barnett design?,Invoice,Max,None,train
Display the total number of transactions with geeta kalapatapu,Invoice,Count,None,train
What was the total invoice amount for building repair?,Sales,Total,None,train
"Since Last fiscal year, how many invoices have been past due?",Invoice,Count,FALSE,train
How much we received from penalty in This quarter?,Invoice,Total,None,train
How much money did we make yesterday?,Sales,Total,None,train
When was the last time we billed for trimming,Invoice,Max,None,test
Did we receive payment from Stripe partnership last year?,Sales,Count,None,train
"Last 30 days, how many invoices were paid?",Invoice,Count,TRUE,train
What are my account payable This month?,Account Payable,Total,None,test
Did we receive payment from Stripe partnership last year?,Sales,Count,None,train
When was the first time we billed for meal and entertainment?,Expense,Min,None,train
Number of invoices created for original cost in This month?,Invoice,Count,None,train
How many invoices have we sent to 0969 ocean view road?,Invoice,Count,None,test
Show all of john melton's transactions,Invoice,Count,None,train
How much money does kookies by kathy still owe?,Sales,Total,FALSE,train
When was the first time we billed for soil,Invoice,Min,None,train
How many diego rodriguez invoices have yet to be paid?,Invoice,Count,FALSE,test
What was the max invoice amount for sprinkler pipe?,Sales,Max,None,train
Display all of rago travel agency's transactions,Invoice,Count,None,test
"As of This quarter, how many invoices for 0969 ocean view road were still unpaid?",Invoice,Count,FALSE,train
What was our smallest expense This fiscal year to date?,Expense,Min,None,train
How many invoices are past due since This year?,Invoice,Count,FALSE,train
How much we received from opening balance equity?,Invoice,Total,None,train
"This year to date, how much has dylan sollfrank paid us?",Sales,Total,TRUE,test
What was the most recent invoice for design?,Invoice,Max,None,train
How much have we been spending on uncategorized income?,Expense,Total,None,train
Show number of transactions with shara barnett,Invoice,Count,None,train
Who are my outstanding creditors?,Invoice,List,FALSE,test
What were my expenses in the Last fiscal year?,Expense,Total,None,train
How much money have we paid to pam seitz today?,Expense,Total,TRUE,train
When was the first time we billed for uncategorized expense?,Expense,Min,None,train
What was the first invoice for amy's bird sanctuary?,Invoice,Min,None,train
How much we received from decks and patios?,Invoice,Total,None,train
When was the first time bill's windsurf shop paid you?,Invoice,Min,TRUE,train
"As of This year, how many invoices for bill's windsurf shop were still outstanding?",Invoice,Count,FALSE,test
What's the total number of invoices we've issued video game by dan?,Invoice,Count,None,train
What was our Net Expenses?,Expense,Total,None,train
What were my expenses in the This year?,Expense,Total,None,train
"This quarter, what was our largest expense?",Expense,Max,None,train
"This week to date, what are my account payable?",Account Payable,Total,None,test
How many invoices are still oustanding for pye's cakes as of This quarter to date?,Invoice,Count,FALSE,train
What's the average contract size for the Sales team?,Sales,Average,None,train
"This month to date, how much has rago travel agency paid us?",Sales,Total,TRUE,test
How much we received from job material?,Invoice,Total,None,train
Who has the lowest money outstanding?,Invoice,Min,None,test
What was the highest invoice amount for service?,Sales,Max,None,train
How much we received from supplies?,Invoice,Total,None,train
How much money did we make This quarter?,Sales,Total,None,train
What was the average invoice amount for landscaping service in Last 12 months?,Sales,Average,None,train
Number of invoices created for uncategorized asset?,Invoice,Count,None,train
What was the most recent invoice for design?,Invoice,Max,None,train
How much have we been spending on uncategorized expense?,Expense,Total,None,train
What was the average invoice amount for subscription?,Sales,Average,None,train
"This week to date, how much has sushi by katsuyuki paid us?",Sales,Total,TRUE,test
What was the first invoice amount for geeta kalapatapu?,Sales,Min,None,train
"This quarter to date, how many invoices were paid?",Invoice,Count,TRUE,train
"This month, what are my AR?",Account Receivables,Total,None,test
What is my mean sales for sonnenschein family store in the This fiscal year to date?,Sales,Average,None,test
When was the last time we billed for sod,Invoice,Max,None,test
What is my total revenue for gevelber photography in the This month to date?,Sales,Total,None,train
What was our smallest expense This quarter?,Expense,Min,None,train
How much credit does geeta kalapatapu have This month,Sales,Total,FALSE,test
Display the total number of transactions with cool cars,Invoice,Count,None,train
What's the total number of invoices we've issued to shara barnett?,Invoice,Count,None,train
"As of This year to date, how many invoices for mark cho remained unpaid?",Invoice,Count,FALSE,train
Show all transactions with kookies by kathy,Invoice,Count,None,train
"Last fiscal year, what was our largest expense?",Expense,Max,None,train
What are the names of my outstanding creditors?,Invoice,List,FALSE,train
Number of invoices created for utility?,Invoice,Count,None,train
Who are my outstanding creditors?,Invoice,List,FALSE,test
What's the total number of invoices we've issued jeff's jalopies?,Invoice,Count,None,train
"This year, what are my account payable?",Account Payable,Total,None,test
What's the total number of invoices we've issued to 55 twin lane?,Invoice,Count,None,train
What is the balance due from geeta kalapatapu?,Sales,Total,FALSE,test
Who has the most money outstanding?,Invoice,Max,FALSE,test
"As of This month to date, how many invoices for paulsen medical supply were still unpaid?",Invoice,Count,FALSE,train
Whats our monthly spend on norton lumber and building materials?,Expense,Total,None,train
How much have we been spending on computer repair?,Expense,Total,None,train
"Last 30 days, how many invoices were paid?",Invoice,Count,TRUE,train
How many invoices were paid This week to date?,Invoice,Count,TRUE,train
How much money did we make This week?,Sales,Total,None,train
How much has diego rodriguez paid us Last quarter?,Sales,Total,TRUE,train
Number of invoices created for visa in This week to date?,Invoice,Count,None,train
When was jeff's jalopy last payment?,Invoice,Max,TRUE,train
What was our total income from mark cho in Last 30 days?,Sales,Total,None,train
What is the balance due from bill's windsurf shop?,Sales,Total,FALSE,test
"Since Last 12 months, how many invoices have been past due?",Invoice,Count,FALSE,train
What was our greatest expense yesterday?,Expense,Max,None,test
When was the first time we billed for original cost?,Expense,Min,None,train
How much did we pay met life dental the today?,Expense,Total,TRUE,train
What was the first invoice amount for sprinkler heads?,Sales,Min,None,train
Number of invoices created for disposal fee in Last month?,Invoice,Count,None,train
What was the mean invoice amount for rock fountain?,Sales,Average,None,train
"As of This quarter, what was our net income?",Sales,Total,None,train
Number of invoices created for other portfolio income?,Invoice,Count,None,train
How much money have we paid to tania's nursery This month to date?,Expense,Total,TRUE,train
How much money did we spend on net expenses?,Expense,Total,None,train
What are the names of my outstanding creditors?,Invoice,List,FALSE,train
"Since Last 12 months, how many invoices have gone unpaid?",Invoice,Count,FALSE,train
When was the last time video games by dan paid you?,Invoice,Max,TRUE,train
video game by dan has received how many invoices?,Invoice,Count,None,train
"As of Last 7 days, how many invoices for pye's cake were still unpaid?",Invoice,Count,FALSE,train
"This month to date, how much did we pay book by bessie?",Expense,Total,TRUE,train
What are the names of my outstanding debtors?,Invoice,List,FALSE,test
When was the first time we billed for sprinkler and drip system?,Expense,Min,None,train
How many 0969 ocean view road invoices haven't been paid yet?,Invoice,Count,FALSE,train
"As of Last fiscal year, how many invoices for red rock diner remained unpaid?",Invoice,Count,FALSE,train
Number of invoices created for plant and soil in Last year?,Invoice,Count,None,train
Who has the most money outstanding?,Invoice,Max,FALSE,test
Who are my outstanding debtors?,Invoice,List,FALSE,train
What's the total number of invoices we've issued to dylan sollfrank?,Invoice,Count,None,train
What was the max invoice amount for penalty?,Sales,Max,None,train
When was the first time pye's cakes paid you?,Invoice,Min,TRUE,train
How much money does wedding planning by whitney still owe?,Sales,Total,FALSE,train
What was our Net Income as of This year?,Sales,Total,None,train
What are the names of my outstanding debtors?,Invoice,List,FALSE,test
What was the highest invoice amount for dues & subscriptions in Last 7 days?,Sales,Max,None,train
How much has rago travel agency paid us This quarter to date?,Sales,Total,TRUE,train
How much credit does 55 twin lane have This year,Sales,Total,FALSE,test
What was the most recent invoice for pump?,Invoice,Max,None,train
How much credit does red rock diner have This quarter,Sales,Total,FALSE,test
What's the total number of invoices we've issued kookies by kathy?,Invoice,Count,None,train
What is my lowest bill for hick hardware?,Bill,Min,None,train
"As of This fiscal year to date, how many invoices for cool cars were still outstanding?",Invoice,Count,FALSE,test
How many invoices are still oustanding for gevelber photography as of This quarter to date?,Invoice,Count,FALSE,train
What are the names of my outstanding creditors?,Invoice,List,FALSE,train
How many invoices are past due since Last year?,Invoice,Count,FALSE,train
